LU_Name,DWR_CAML_Code,LUdrivenNsourcetype_Dairy,LUdrivenNsourcetype_WWTP_Biosolids,LUdrivenNsourcetype_FP,CropGroup_LanduseGroup,
Native Vegetation,1450,0,0,0,Native Vegetation,
Native Vegetation (unsegregated),1420,0,0,0,Native Vegetation,
Natural Vegetation (backcasted),2,0,0,0,Native Vegetation,formerly: Irrigated Agriculture (unaccounted for)
No Access,500,0,0,0,No data,
No data,0,0,0,0,No data,
Non-Irrigated Pasture,72,0,0,0,Native Pasture and Grassland,
Not surveyed,1440,0,0,0,No data,
Oak grassland,1457,0,0,0,Native Pasture and Grassland,
Oats,703,1,1,1,Grain and Hay,
Offices,2111,0,0,0,Urban,
Oil refineries,2127,0,0,0,Industrial,
Olives,306,2,0,1,Olives,formerly: Subtropical
Onions and garlic,2010,2,0,1,Vegetables and Berries,
Oranges,303,2,0,1,Subtropical,
Ornamental landscape,2133,0,1,1,Urban,
Out of area,2600,0,0,0,No data,
Palm Oasis,41,0,0,0,Shrub/Forest,
Paper mills,2128,0,0,0,Industrial,
Pasture,1600,1,1,1,Pasture,
Paved areas,2154,0,0,0,Barren,
Peaches and Nectarines,405,2,0,1,Tree Fruit,
Pears,406,2,0,1,Tree Fruit,
Peas,2011,2,0,1,Vegetables and Berries,
Peppers,2021,2,0,1,Vegetables and Berries,
Perennial Grassland,39,0,0,0,Native Pasture and Grassland,
Pinyon-Juniper,40,0,0,0,Shrub/Forest,
Pistachios,414,2,0,1,Nuts,
Plums,407,2,0,1,Tree Fruit,
Ponderosa Pine,42,0,0,0,Shrub/Forest,
Potatoes,2012,2,0,1,Vegetables and Berries,
Poultry farm,1904,0,0,0,Farm,
Prunes,408,2,0,1,Tree Fruit,
Railroad right of way,2153,0,0,0,Barren,
Red Fir,45,0,0,0,Shrub/Forest,
Redwood,44,0,0,0,Shrub/Forest,
Residential,2140,0,0,0,Urban,
Rice (includes rice & wild rice subclasses),1800,2,0,1,Rice,
Riparian Marsh,1431,0,0,0,Riparian,
Riparian Meadow,1432,0,0,0,Riparian,
Riparian permanent duck marsh,1435,0,0,0,Riparian,
Riparian seasonal duck marsh,1434,0,0,0,Riparian,
Riparian Tree,1433,0,0,0,Riparian,
Riparian Vegetation,1430,0,0,0,Riparian,
River,1461,0,0,0,Water,
Riverine,43,0,0,0,Water,
RV Parking,2114,0,0,0,Urban,
Safflower,602,2,1,1,Field Crops,
Sagebrush,50,0,0,0,Shrub/Forest,
Saline Emergent Wetland,49,0,0,0,Shrub/Forest,
Salt Flats,1414,0,0,0,Barren,
Sand dunes,1415,0,0,0,Barren,
Saw Mills,2126,0,0,0,Industrial,
Schools,2116,0,0,0,Urban,
Sewage treatment plant,212913,0,0,0,Industrial,
Sierran Mixed Conifer,51,0,0,0,Shrub/Forest,
Single family > 1 acre,2141,0,0,0,Urban,
Single family 1-8 units/acre,2142,0,0,0,Urban,
Spinach,2014,2,0,1,Vegetables and Berries,
Steel mill,212910,0,0,0,Industrial,
Storage and distribution,2123,0,0,0,Industrial,
Strawberries,2020,2,0,1,Vegetables and Berries,
Subalpine Conifer,48,0,0,0,Shrub/Forest,
Sudan,608,1,1,1,"Corn, Sorghum, Sudan",
Sugar Beets,605,1,1,1,Field Crops,
Sunflowers,612,1,1,1,Field Crops,
Sweet Potatoes,2013,2,0,1,Vegetables and Berries,
Tomatoes (processing),2015,2,0,1,Vegetables and Berries,
Trailer Courts,2144,0,0,0,Urban,
"Truck,Nursery, Berry Crops (includes cole mix, mixed, and misc. truck crops)",2000,2,0,1,Vegetables and Berries,
Turf farms,1607,0,1,1,Pasture,
Undetermined Conifer Type,63,0,0,0,Shrub/Forest,
Undetermined Shrub Type,62,0,0,0,Shrub/Forest,
Unpaved,2151,0,0,0,Barren,
Urban,53,0,0,0,Urban,
Urban,2100,0,0,0,Urban,
Urban (backcasted),1,0,0,0,Urban,formerly: Shrub/Forest
Urban landscape,2130,0,1,1,Urban,
Vacant,2150,0,0,0,Barren,
Vacant unlisted,2152,0,0,0,Barren,
Valley Foothill Riparian,56,0,0,0,Riparian,
Valley Oak Woodland,55,0,0,0,Shrub/Forest,
"Vineyards (includes table grapes, wine grapes, and raisins)",2200,2,0,1,Vineyards,
Walnuts,413,2,0,1,Nuts,
Waste accumulation sites,212914,0,0,0,Industrial,
Water,57,0,0,0,Water,
Water channel,1462,0,0,0,Water,
Water Surface,1460,0,0,0,Water,
Wet Meadow,59,0,0,0,Riparian,
Wheat,702,1,1,1,Grain and Hay,
White Fir,58,0,0,0,Shrub/Forest,
Wind farms/solar farms,212915,0,0,0,Industrial,
